,Serial,Sentence,Objective Rating,Far Away Rating
8932,9273,"Whenever I wear my favorite dress, one with big, visible (and functional) pockets stitched on the front, women chase me down to ask where I bought it.",6.0,3.0
2023,2024, Does not look healthy at all.,5.0,3.0
7534,7875, He is not looking straight at me so I don't really feel bad at all.,,1.0
429,430, she looks scared or uncomfortable.,3.0,1.0
6214,6555, There are various people in a hole in the ground and they might be held captive since it looks like there is a gun pointing at them the people look cold.,1.0,5.0
9584,9925,A man or woman has had their face nearly cut off of their body.,5.0,3.0
7343,7684,"Or, at least, a range of losses: The sad fact of the matter is that we don’t really know how many original recordings by the likes of Chuck Berry and Duke Ellington and Elton John and Iggy Pop were lost.",2.0,2.0
2661,2662, A girl's face is ripped off and bloody.,6.5,2.5
11852,12894, She is wearing frilly crocheted shirt and her hair is curly and blonde.,6.0,5.0
8228,8569, his eye was bloody.,6.666666666666667,3.0
11866,12908,It’s hard to parse how you’d choose to become a fan of one over another.,1.0,3.0
6868,7209,"On summer days when I didn’t have school, I’d wake early and halfheartedly play Barbies, or skim a chapter of a book, or page through my sticker collection to smooth any curling edges, or organize my Beanie Babies by color, then by size.",3.0,1.0
3111,3112, this is an old man.,6.5,1.0
9867,10208, A tan man is looking off into the distance and appears to be in the middle of saying something.,3.0,4.0
2724,2725, Based on the little ponytail?.,5.0,2.5
10655,11197, This is a picture of a woman with smudged makeup.,7.0,2.5
9427,9768, A woman is standing on one leg in a house.,4.5,2.5
8419,8760, She seems excited.,3.6666666666666665,1.3333333333333333
5004,5345, I can see his left eyeball.,7.0,1.5
1886,1887, This is a picture of someone holding a revolver somewhere far away and many decades ago.,6.0,4.0
10162,10704, they are standing alone.,3.5,2.5
846,847, Blotchy and disgusting and very disturbing.,1.0,1.0
2540,2541, He is wearing a black jacket.,7.0,2.0
7056,7397,It seems there is a boy from yesterday who is crying while being held back by an older man.,6.0,4.0
4450,4791,"So, all you are doing here is to give them another thing to attack.",4.0,1.0
244,245, He looks at a man in a suit.,7.0,1.0
2933,2934,"We opt for distraction instead of discomfort, and sitting still with yourself or with God is a profoundly intimate (and eventually wonderful) thing to do.",2.0,4.5
1079,1080,Can I make that suggestion for all of us in this glorious season?,2.0,4.0
2352,2353,And you might not receive the payment until 30 days later.,6.0,3.0
240,241, His skin tone is very red/orange and he looks like he is in the middle of saying something.,7.0,1.0
1183,1184, He has blue eyes and a beard.,7.0,3.5
11248,12290, There is an Italian store front with some meats hanging in the window.,4.0,1.0
6891,7232,Alamo Plaza was registered in 2005 by the Texas Historical Commission and listed in the Cemeteries of Bexar County.,7.0,7.0
1868,1869, A young boy and a woman gaze in wonder at some temple they seem to be in.,3.5,2.0
5905,6246, It makes me wonder who he is.,1.0,
3933,4274, I wonder what he's there for.,2.0,4.0
341,342," In another country, there is a pile of naked or almost naked bodies on the floor, covered in blood and dirt.",7.0,7.0
10199,10741, A couple who are in a disagreement sit on opposite sides of their bed with arms crossed avoiding eye contact.,4.0,3.0
2071,2072,I fit in more workouts this past winter than in any offseason before.,5.0,3.0
1385,1386, An older looking woman seems like she wants an explanation from the younger looking woman.,2.5,3.5
10939,11481, cut on this boy's face.,7.0,4.0
9201,9542, She is sitting in a yellow chair tearing up.,5.5,2.5
9322,9663, very indignant for this woman going through abuse probably by a loved one.,4.0,2.5
5289,5630, A person is running into a room with a gun some time ago in the past.,4.0,5.0
11251,12293, how did this happen and why? Very scary and sad.,1.0,1.0
11140,12182, Emergency services are trying to rescue someone.,6.0,1.0
11239,12281, Also those overalls look dope in the sun.,1.0,1.0
2677,2678, A red-haired woman with bright blue eyes is staring right at the camera.,6.0,1.5
7000,7341,"Gui’s time is also taken up by brand events, often several a week.",5.0,3.0
7077,7418, she is healthy but her eyes are wide.,3.0,1.0
3533,3534, a man is pointing a gun at a lady while holding her head with her hair.,4.0,3.0
4622,4963, The child is crying.,7.0,1.0
5170,5511, A kid running a away from something and there is a soldier with a big gun behind him.,4.0,3.0
309,310, there is a little baby girl sitting in a hospital wheelchair with many tubes attached to her.,7.0,1.0
6863,7204, This is a photo of a man staring directly at the camera.,7.0,3.0
9096,9437,"100 years later, hundreds more perished (and were interred) at the Battle of the Alamo and the Siege of Bejar.",1.0,7.0
7685,8026," In a place thousands of lightyears away from me, a child lays bloody.",5.0,7.0
6496,6837, an extremely graphic photo of a bloody head being held by some hands that are out of the frame mostly.,5.0,5.0
7410,7751, a man in a country far away had a knife pointed at his throat and looked like he was not being compliant.,2.0,7.0
8316,8657, He has a neutral expression on his face.,4.666666666666667,2.0
1571,1572,two adults one man and one woman are fighting in jeans and a black shirt while a kid in a red shirt holds his ears .,3.5,2.0
788,789,"So I wanted to be that binder queen,” she said.",5.5,1.0
11143,12185, The kid is looking straight towards me.,4.0,1.0
5679,6020," A person is on a bed, clearly shot in the face.",5.0,
4425,4766, I honestly don't know what I'm looking at.,3.0,1.0
11452,12494, A lady and a guy/boy probably had an argument.,5.0,1.0
5320,5661, The person has been burns and destroyed by something.,3.0,3.0
4365,4706, Lots of goriness and indentations in body.,6.0,1.0
2849,2850, Bullying doesn't work like this.,2.5,2.5
5717,6058, One man is screaming.,7.0,
7418,7759,"To be able to exert control over your domain as a mother with flair, and love, and resourcefulness, is something that few people, regardless of income, have the time and resources to do.",7.0,5.0
3297,3298, A lady lies next to the bottle.,7.0,2.0
3077,3078," The two ladies look like they are on a lunch break, doesn't seem like a very engaging conversation that they are having.",3.5,2.0
7917,8258, I think it's the girl's dad.,2.0,4.0
1888,1889,"These reports — which are common among more established lifestyle bloggers as well — appear to exist as a nod toward transparency, but in this case they also act as a kind of sales pitch to convince readers that a blogger’s advice is worth paying for.",3.5,3.0
7288,7629, A woman is found dead after an apparent overdose.,4.0,2.0
8392,8733, His arms are holding a bar overhead and he is connected to tubing and seems to be in the hospital.,5.0,3.3333333333333335
9896,10237, the body is bloody and dirty and looks in a lot of pain even though it's dead.,2.0,1.0
2847,2848, The laceration seems to go from his right ear to the left center of his neck.,5.5,3.5
7323,7664, They are covered in blood and have minimal clothing.,6.0,1.0
6340,6681," While his skin isn't completely done for, it is still extremely bad.",1.0,5.0
8667,9008, he has facial hair and brown hair.,6.0,1.5
3594,3595, This must have been so painful though and makes me feel distressed for him.,6.0,2.0
9145,9486,"The “impulse purchase” section of your local Target used to capture attention and trigger stimulation (that’s kind of quaint, isn’t it?).",4.0,3.0
8379,8720, He looks possibly upset about something.,4.0,2.0
10146,10688,"What’s really going on in this strange, aggressively boring corner of the internet?",2.0,3.5
5297,5638, In that other place he was by himself and had his finger on the trigger.,3.0,4.0
3947,4288, A white male is holding a machine gun pointed at the viewer in the picture.,7.0,1.0
9457,9798, Three men are in the picture.,6.5,3.5
7342,7683,Man is lying on some elevated surface relaxing by the window.,5.0,2.0
5070,5411," There seems to be something swollen below both eyes, not looking tumor-like but not healthy.",6.5,3.0
5827,6168, This man is Latino .,7.0,
1724,1725,I suspect you could trace much of the popularity of both MLMs and this style of blogging among American women back to a common cause.,1.5,4.0
9184,9525, the man has a watch on his wrist.,7.0,2.5
9491,9832, People with clothes either burned or torn off are in pile.,6.5,3.0
6374,6715,Only one film survives.,6.0,5.0
10458,11000, They seem to have been playing on the shore.,2.5,4.0
5225,5566, There was a situation where someone overdosed on pills.,3.0,4.0
7129,7470, Her parents are touching her small hand.,6.0,3.0
4814,5155, I feel like he has a degree of wisdom.,3.5,3.0
976,977, A man is holding a woman in one arm and holding her inside a van.,7.0,2.0
368,369, I feel pretty neutral towards this image but it does feel like this person is slightly judging me.,1.0,3.0
6808,7149, A man is holding a gun a bit away from the camera some where far away from me.,6.0,7.0
5788,6129, There are several dead and bloody bodies.,7.0,
7812,8153, This is  a man with the side of his face burned.,5.0,3.0
9659,10000," In a photo from a different country, there is a man with a pantyhose over his head and several weapons laid out on the bed, including guns and a grenade in his hand.",6.0,5.5
9687,10028, Looks like something out of a bad 70s horror movie.,3.5,4.0
6542,6883,A woman is sitting down on the beach and smiling at the camera.,6.0,5.0
6754,7095, there are at least 3 recognizable dead bodies.,6.0,4.0
8703,9044," guy staring into the distance, no emotions, very neutral.",4.5,5.0
4654,4995, A fireman recovered what looks to be a dead woman from a burning house many decades ago in a city far from here.,7.0,6.0
2312,2313, the person is lying down.,6.0,2.0
3278,3279,A woman in the beach smiling for the picture really happy.,4.5,2.5
7257,7598, the woman is holding the man by his tank top.,5.0,2.0
7510,7851, The woman is being pulled in.,,1.0
7863,8204, There is a woman who is looking very intensely at a man and holding on to his shirt as he looks away from her.,3.0,3.0
8410,8751, Two old dudes just chilling in the future.,4.0,6.333333333333333
10789,11331,Which were immediately dismissed as mere mellow-harshing from a coach who’s bitter about losing his best shot at a national title.,4.0,3.5
3222,3223, A woman is pulling a man's shirt looking angry while he looks away.,4.0,2.0
3700,4041, A young woman in a black sweater holds her hand to her face while looking away from the camera.,7.0,2.0
9377,9718, This girl is reading a book intently in school.,5.5,2.5
9619,9960, This took place a long time ago in a location far away.,7.0,7.0
1154,1155, the baby is smiling happily to the camera.,4.0,3.5
11396,12438, he looks confused.,2.0,1.0
7794,8135," Two kids are walking through a sandy path, one holding bucket, both have large t-shirts on, looks like they are heading to a beach or some sort of water to play.",4.0,3.0
3492,3493, This is a picture of a dead person.,7.0,4.0
10463,11005," She is staring blankly at the camera for some kind of indication, or maybe it is a school portrait photo.",4.5,4.0
25,26,"there is a man looking ahead, he is smiling.",7.0,3.0
8011,8352, a person or fetus that is dead.,5.0,5.0
5932,6273, There are bruises everywhere.,7.0,
7738,8079,"Bloody face, white individual.",4.0,3.0
5076,5417, its a really bad car crash.,3.5,3.0
6265,6606," Long ago, two woman were together.",6.0,7.0
1192,1193, The man in the foreground looks defeated and has his arms crossed.,4.5,3.0
6855,7196,"For example, by focusing on flat-Earthers, you create more flat-Earthers, even when you report about them in a negative way.",3.0,5.0
7337,7678, He looks like he is longing for something.,2.0,1.0
1906,1907, Two of the children throw the other one in the air.,6.5,2.5
4246,4587,"Maria B: For me, I find it helpful to turn my attention to my body to counteract any restlessness.",3.0,1.0
5058,5399, This is an unsettling image especially with the dark background.,3.0,3.5
2689,2690, Most likely grades considering it is an Asian household or perhaps lack of performance.,1.5,2.5
1334,1335, A man has a slash on his throat probably from a knife wound and he seems to be bleeding onto the nice white cloth.,5.0,3.0
5350,5691, Man has been badly burnt on one side of his face.,4.0,3.0
2405,2406," They are both wearing white tees, though the little boy's is so big it goes past his knees.",5.0,3.0
11554,12596, Ooo this is really intense.,2.0,2.0
4837,5178, The boy is listening to his mom.,4.5,3.0
5460,5801, A young couple in a heated dispute.,3.0,2.0
834,835, Maybe they just had a fight.,2.5,2.5
11630,12672,An amputated right hand sit on a blue towel.,7.0,4.0
4002,4343, the robber was mad.,2.0,1.0
4511,4852, There is a man who looks like he's tired of arguing and a woman that is screaming at him.,4.0,1.0
10756,11298, There is a blue background behind him.,6.0,5.0
3332,3333, A woman is scolding a young boy.,4.5,2.5
8326,8667," Slightly comforting but not extremely so, horror movie-esque.",2.3333333333333335,2.0
2194,2195, The area behind her is black.,6.0,2.0
7994,8335,NASA is developing a spacecraft to explore Europa by performing more than 40 close flybys from Jupiter's orbit.,7.0,3.0
3005,3006, I don't feel bad about this picture.,2.0,3.0
10085,10627," There are five men, they are handcuffed to a railing.",5.0,4.0
97,98, this is a posed photo of two men in a city and one man is trying to threaten the other one who looks vaguely uncomfortable .,5.0,3.0
11180,12222," A woman seems to be at work, and she is taking a call and taking notes.",7.0,1.0
1639,1640, A man's eyes are both very swollen possibly from an illness and he looks very upset.,2.5,1.5
2792,2793, there is a diseased and most likely dead baby/child.,3.5,3.0
9563,9904, she is lying on the bed.,5.5,2.0
11598,12640, his collar is white.,7.0,7.0
9441,9782, If he is still alive that is a miracle.,2.0,1.0
1469,1470, Someone in black shirt and pants is holding a knife.,6.5,4.0
2487,2488, She seems upset with him and looks to be getting physically aggressive.,6.0,2.0
9976,10518,"Long time ago far away, a man is complaining to a woman, probably arguing.",4.5,7.0
9481,9822,They are blogs about blogging.,4.5,2.0
8275,8616, She has the test of her child up on the cabinet.,6.333333333333333,2.3333333333333335
7715,8056, it looks like the baby was born prematurely because it is so small.,3.0,3.0
2835,2836, The person doesn't look to be a cop or anything.,4.0,1.5
10827,11369,A girl has her hand on her face.,6.5,4.0
662,663, It is a store front and the man is doing what he should do.,2.0,1.5
1954,1955, the woman on the right is mad at the woman on the left.,5.0,2.0
3949,4290,There is a tiny baby with tubes all connected to him.,5.0,1.0
4822,5163, it looks like it's snowing and winter outside .,5.5,1.5
7716,8057, Numerous blooded and naked bodies lying in a pile.,6.0,2.0
5662,6003, Woman who seems like a teacher has a test next to her.,5.0,
9472,9813, A group of belligerent men are about to damage a car.,3.5,2.5
8790,9131, A happy baby laying on a pillow and smiling to the camera in his house .,4.0,5.0
8827,9168, he has blonde hair and is being held by a man but you can only see his arm.,4.0,2.0
483,484, The apartment is pretty shadowed but you can see a plant and a chair.,7.0,1.0
11787,12829," A corpse, looks like a burn victim or necrosis of some kind, laying on a sheet, black.",5.0,5.0
8187,8528, This is a portrait of a boy looking at a camera.,7.0,2.3333333333333335
6695,7036, the shot is blurry so it looks like an action shot .,4.0,2.0
1945,1946, He is looking wistfully off into the distance.,1.5,5.5
5658,5999, there is snow outside and the man is stretched out inside a house.,3.0,1.0
11956,12998," So, while it is sad, he will get help soon.",1.0,3.0
8897,9238, A guy playing the guitar and singing is cool he has the country style  .,2.0,4.0
10734,11276, Her face is significantly swollen.,4.0,3.5
10423,10965, An individual holds a weapon to an exposed throat.,6.5,2.5
9720,10061,"Authoritarian surveillance programs are always used to target the most vulnerable and marginalized, and facial recognition enables the automation of oppression.
",5.5,2.5
5829,6170, There are three boys who are all laughing who are standing outside.,7.0,
10633,11175, A man looks like he has been burned very badly.,4.0,4.0
5778,6119, Most of them are wearing hats.,7.0,
6176,6517, A man with a bandana covering the bottom half of his face is holding a gun in a muddy area.,6.0,4.0
2746,2747, This makes me feel uncomfortable.,1.5,3.5
7958,8299, I guess the lighting makes his face super red.,3.0,3.0
6618,6959,"There is a cop, or some sort of official with a belt that has armed things on it who is holding a man/seemingly choking him from the pained expression on his face.",5.0,5.0
221,222, It is a nice image of the two boys intent.,6.0,1.0
3898,4239, This is a super up-close shot of a man's face.,5.0,5.0
11389,12431, Damn I guess camo really does work because I can barely see the army guys and this guy is really making a run for it.,1.0,2.0
4100,4441," This is a photo of a woman with a blackboard behind her, presumably a teacher because there is a paper graded A behind her as well.",4.0,5.0
1707,1708, A very neutral image again.,5.5,1.0
5999,6340, The man is wearing a ski mask.,7.0,
2298,2299, His hands are clenched around the gun ready to pull the.,5.0,3.0
3573,3574, He has an indifferent look on his face.,7.0,2.0
4957,5298, This was a picture of a man holding a gun to another man's head.,7.0,3.5
11605,12647, A baby with a surprise expression seems like a happy baby.,3.0,5.0
4268,4609," This group is carjacking this person, and it is horrifying that this can actually happen in some places in the US and world.",5.0,1.0
5846,6187, They are all wearing glasses.,7.0,
1738,1739, A man is holding a knife to a woman's throat.,6.5,2.5
4286,4627, I don't really feel strongly either way.,3.0,1.0
1287,1288, he is lying down.,7.0,4.0
3969,4310, He looks innocent.,1.0,1.0
5800,6141, He is wearing blue; she is wearing red .,7.0,
6942,7283, he's frowning so maybe someone is guilty.,3.0,3.0
10802,11344," Although he seems harmless, it does make me feel a bit uncomfortable.",3.5,3.5
7434,7775, She is looking at her parents.,5.0,1.0
1434,1435, Firefighters are trying to examine something.,4.5,3.5
8831,9172, There is a judge with a skeptical expression on his face.,3.0,5.0
10408,10950, She is lying on a bed.,6.5,3.0
2966,2967,"A park enforcement patrol officer told her to get down before she hurt herself, so she complied, waited until he walked away, and then immediately climbed back up.",5.5,4.0
3195,3196,"In it, Rosen revealed for the first time the extent of the losses to music history that occurred during a fire at Universal Studios in 2008 that burned the masters of many important musical works.",5.5,6.0
5873,6214,Someone's insides are cut open some time in the past.,7.0,
10761,11303, the baby has double eyelids.,7.0,4.0
8017,8358,the room is dark so I cannot see what he is wearing.,3.0,1.0
1248,1249, A man in a red shirt and jacket holds a gun to the head of another man in a white jacket.,6.5,3.5
1850,1851,"Go far beyond the movie images of John Wayne’s “Battle of the Alamo’,” explains Vasquez.",4.0,2.5
11946,12988, this is a picture of a European couple fighting in front of a wall.,3.0,5.0
1987,1988, This is a pretty grotesque image that makes me feel uncomfortable and terrified.,1.0,1.5
6263,6604," An old man is standing in a straw laden area in a suit and tie, holding a violin in his hand.",6.0,5.0
10417,10959," This is adorable, so cute and make me remember my childhood at the beach.",1.0,4.0
10722,11264, He's probably dead.,5.5,3.0
10819,11361,a man and a woman are arguing but the woman is ignoring the man.,6.5,2.5
4627,4968," I am looking at someone brandishing a knife in a huge, threatening motion, maybe perhaps a mass murderer or someone about to commit suicide.",3.0,1.0
6131,6472," Most of the picture is black or in dark colors, so I assume that the pictures is supposed to be solemn or dull.",1.0,
10712,11254, There's a tree outside.,7.0,5.0
6987,7328, someone's hand is inside the container / incubator holding.,7.0,1.0
6492,6833,"Ms. Valenti said that when men say they want no drama, “they’re signaling to others that they’re someone who’s incapable of witnessing and honoring another person’s feelings.",2.0,4.0
482,483, There was an argument where a girl was screaming at a guy who has a shocked expression on his face.,7.0,1.0
7762,8103," young baby black hair smiling past camera, laying on stomach no clothes, blanket over head like peeking out of it, very cute, looks like playing and having fun.",4.0,3.0
2959,2960, She is pointing her finger at the man in an accusing manner.,3.5,2.5
5264,5605, I really don't like their left eye and it makes me feel nausea.,2.0,2.0
10099,10641, Man and women in a flood with their kid.,6.0,3.0
9036,9377,"Now, however, Barnes & Noble is the final bastion of hope, the tiny remnant of an industry that has traded cramped stacks delivering instant gratification for distant warehouses offering you anything your heart desires — albeit 24-48 hours later.",3.0,4.0
11362,12404, A woman seems to be throwing things at a man standing in front of her.,2.0,2.0
963,964, body with head bloody and bashed hooked up to medical devices.,7.0,2.5
11256,12298, He sort of feels like he's messed up but doesn't know what to do.,3.0,1.0
5723,6064," Several years ago, a man appeared to tackle a woman into a van.",4.0,
6017,6358,a person is lying down next to a window.,7.0,
7099,7440, A small baby with blond hair is looking at the camera.,7.0,2.0
11515,12557, makes me feel happy to see a girl him.,1.0,2.0
4672,5013, Eyes seem watery.,5.5,1.5
1559,1560, This is a photo of a man's face that was extremely badly burned or hurt in some other way.,3.5,2.5
3131,3132, It looks like she may have wounds on her face.,1.5,1.5
3742,4083, A kid is looking out at the picture taker.,7.0,2.0
2991,2992, His hand is on the woman's face.,7.0,3.0
8432,8773, The face has his gloved hands over it so you can't tell what they look like.,5.0,1.6666666666666667
9936,10277,"That is No. 3 on my list of the all time most groin-kicking losses in Patriots history, behind only the two Super Bowls That Shall Not Be Named.",1.0,5.0
5796,6137, The man with the gun seems agitated and is yelling at the man.,3.0,
9810,10151," there is a group of people in a ditch, someone else is holding a large gun .",7.0,2.0
8122,8463, It's a very sad and disturbing image.,1.0,4.0
4028,4369, They are throwing the smaller kid in the air .,7.0,1.0
4296,4637, the murder is killing the girl with a knife.,7.0,1.0
11740,12782, the colors are sad but the picture looks normal.,4.0,3.0
1409,1410,"They are eating our pizza, drinking a beer and catching up with their neighbors.",6.0,4.0
3223,3224, The face is super pale.,5.5,1.5
1375,1376,It is the body of a person opened up; this picture troubles me and makes me afraid for the person.,3.0,4.0
2814,2815, A woman's genital areas showing what I'm assuming are C-section scars.,5.0,2.5
8140,8481, the man looks concerned.,2.0,4.0
10224,10766," It is really difficult to make out what it is but a general face is seen with eyes, a nose and teeth.",3.5,4.0
4067,4408, It looks like a breezy summer day as they are wearing summer clothes.,2.0,4.0
8506,8847," Even though he's smiling, I'm getting some bad vibes, maybe it's the mustache.",2.0,1.0
10094,10636, I'm scared for the woman inside her car cuz this is such a bold way to commit a crime.,2.0,3.5
1097,1098, He is being held from behind by a man and there's another person behind them.,5.5,4.0
11136,12178, Someone is moving a knife downward.,4.0,1.0
5275,5616, this is a man wearing a suit grabbing the collar of another man's shirt.,5.0,1.0
11587,12629," surgery I think, can't see patient but see doctors and nurses with tools and masks, old picture, a little bit of blood.",5.0,4.0
4857,5198, I don't think he'll actually do anything though so I don't think it's a huge problem.,1.5,4.5
5428,5769,This is an image of a boy that has a giant scar on his face.,4.0,3.0
11343,12385, This makes me feel sad.,1.0,1.0
3103,3104,Don’t think that you’re signing up for forever on day one,2.0,2.0
11057,12099, There was a group of three old men who all had tuxedos on and were smiling.,5.0,1.0
6568,6909, There is a white man with blue eyes.,7.0,5.0
4057,4398, Her little curls are endearing and makes me feel happy looking at her.,2.0,3.0
929,930,"James wants to write a book, open a restaurant, own a ceramics studio, and have his own clothing line.",6.0,2.5
2612,2613, She is using both of her hands to try and dislodge .,5.0,2.0
587,588, His right eye is missing and there is blood pooling in the gash.,6.0,1.5
10195,10737,a very small baby is hooked up to many wires and machines.,6.0,2.0
6097,6438, Lots of scarring on his face.,5.0,
2712,2713," I can't even discern what fingers are or aren't attached and what is skin just peeling off, but it is a mutilated hand over a bucket.",3.5,3.5
10589,11131, And the mother is nagging the daughter about something.,5.5,3.0
10018,10560, Their arms are crossed and they are looking away as if they just had an argument.,4.5,2.5
2574,2575, a man is looking scared in the camera while a woman screamed at him a long time ago.,3.5,5.0
1398,1399," This looks like the body of a child - maybe a doll, but probably a small child - buried under rubble.",5.0,3.5
10687,11229, The ribs have been broken and the heart is not well.,6.0,3.5
1598,1599," A military troop is trying to kill a civilian, and his white shirt is tattered with blood.",4.0,3.0
8162,8503, There is a man with a knife to a woman's throat.,7.0,1.3333333333333333
4579,4920, A woman is yelling at a man who seems to have a defensive posture while a young child holding a teddy bear is seen watching from out of view.,6.0,1.0
10173,10715, the two kids look like they are having a nice day at the beach and are probably going to get some sea shells or build a sand castle.,3.5,3.5
6566,6907," A disfigured, grotesque, vaguely human-like figure is present in the frame.",2.0,5.0
8994,9335,"She now carefully picks and chooses what to attend, but sometimes prefers to stay in and meet her deadlines for sponsored brand posts.",6.0,4.0
3255,3256, there is a man choking a younger woman.,5.0,1.5
1313,1314,This is a picture of an infant in the NICU.,7.0,3.5
4175,4516,Photo shows the internals of some being.,7.0,1.0
9488,9829,An opportunity to be engaged in rather than distracted from life.,4.0,3.5
9116,9457, Wonder where he got them from.,3.0,4.0
11661,12703," the mother and son are looking at something surprising in the sky, there might be a plane or they might also be looking at a tv monitor.",3.0,6.0
3550,3551, a man is looking somewhere far a way from here.,5.0,3.0
1923,1924, He's not dressed for church .,2.5,2.0
8688,9029,"Sanchez missed that entire season with an injury, but was in Philly the following year.",2.0,4.5
11130,12172, She is probably relieved.,2.0,1.0
3660,4001,That’s when the crazy stuff happened.,1.0,6.0
6906,7247, A mother and son are looking up.,7.0,3.0
9756,10097,"Vasquez, last weekend, told a tour group how history is being wiped out.",6.0,2.5
9061,9402,This precariousness seems like all the more reason to find a partner who can face the challenges and roll with them.,1.0,4.0
9640,9981," A corpse, the entire face is missing however there seems to be the remnants of an eyeball lol.",5.0,3.0
6437,6778, The boy is wrapped in robes.,5.0,5.0
6252,6593,That happy news masks a more concerning problem—a flattening growth rate in the number of contributors to the website.,4.0,4.0
5967,6308," In a photo from a long time ago, there is a man lying down on a bed with deep cuts in his chest that have been sown together.",3.0,
3694,4035, She has a serious expression.,6.0,1.0
11375,12417,There is a severed hand present and the hand is bloody.,6.0,1.0
5008,5349,"old white man pulling back lace curtain to look out window, inside looks dark, can see tree outside on some grass, looking for something or someone maybe .",5.5,3.0
2042,2043," The chef looks happy, and he is looking at the baby in his arms.",3.0,3.0
10387,10929," She seems to have had makeup on, which exacerbates the e.",2.0,2.5
640,641,Which compels a seasoned internet traveler to ask: What are they doing?,4.0,4.0
3180,3181,But those who might change are those on the edge.,2.0,2.5
5016,5357, A kind of uncanny photo.,3.5,4.0
3592,3593,"A few years ago, a malnourished baby was born in a country hundreds of miles away from here.",3.0,3.0
6266,6607, A young person is covered completely in blood with something in their mouth.,4.0,5.0
10465,11007, There is a lot of high intensity.,3.0,3.5
6629,6970, this guy looks kind of creepy but he's just kind of standing there with a violin inconspicuously .,2.0,5.0
10430,10972, There is a chef holding a baby and the baby and the chef are both wearing white.,6.5,2.5
1716,1717," young white child looking at camera, dark lighting, looks sad a little, eyebrows furrowed, short buzzed blond hair.",3.0,2.0
4428,4769, The black man looks scared.,3.0,1.0
5153,5494, The boy on his left is eating his hand.,7.0,4.5
5055,5396, The man is looking away from her.,7.0,3.0
7248,7589, A couple of guys with big guns are barging into a building.,7.0,1.0
10347,10889," A woman has her head in her left hand, looking down.",6.0,3.5
6080,6421,The empire waist dresses and profile of slimmer-fitting clothes left no room for them.,4.0,
2220,2221,We cannot bury history.,2.0,6.0
4167,4508, A hand is holding a knife that appears to be in motion.,6.0,1.0
6089,6430," Long time ago far away, someone set an individual on fire and continued to light them and beat them using a torch.",7.0,
3293,3294, A breast seems to have exploded.,5.0,5.5
1690,1691, Hopefully it was just a small spat.,2.5,1.0
915,916,  I feel relaxed and like I would like to be there too.,1.0,1.0
4314,4655,Just an older man looking out the window in his loungewear.,5.0,1.0
9903,10244,“Are we setting a precedent of the emotionless partner who has no needs?,2.0,3.0
6419,6760,"The rich will grow richer, unaccountable authorities will become more powerful, and the rest of us will be subject to deeply invasive monitoring every time we leave our homes.",1.0,5.0
2734,2735, someone's hand is touching the baby's hand.,7.0,2.0
2950,2951, The child looks like he had been crying.,4.5,2.5
2101,2102, It was extremely bloody and his eye was completely missing and his other eye swollen shut.,6.0,2.0
1267,1268, The man is peeking.,5.0,3.5
9777,10118," The picture is extremely graphic, it looks like that part of her head was ripped or blown off in some way.",5.0,2.0
6686,7027, He has dark hair and dark eyes.,7.0,2.0
154,155, There is also a chalkboard and a map behind .,7.0,1.0
5756,6097, This is really gruesome and sad to see.,1.0,
11730,12772, The man grabbed the woman.,5.0,5.0
3037,3038, There is a young woman who has been badly injured and most of her face is completely gone.,5.5,2.0
4514,4855, A very blurry picture of two men running with guns and other weapons into a room.,7.0,1.0
10022,10564, this is a child wearing goggles being thrown up in a pool by a girl and a boy.,6.0,1.5
4376,4717," He looks scared or worried, she looks annoyed.",4.0,1.0
9734,10075,I’m excited you’re here.,4.5,1.5
2069,2070, I don't feel bad when looking at this image.,4.0,3.0
2288,2289," A mother is scolding her young son, who is sitting in a closet.",5.0,3.0
5935,6276, There are people in the background wearing .,7.0,
4943,5284, He is wearing a black uniform and looks like he's remembering something.,4.5,2.0
4244,4585, A white man screams at a scared black man.,4.0,1.0
4988,5329, the son was pouting and the parents were pointing fingers and .,5.5,2.5
7479,7820,"“I don’t want to be one of the people who just sustains themselves on their social media for their livelihood, because what happens when one day you’re not cool anymore? ” says Tommasiello.",1.0,3.0
1044,1045,"We need to illustrate how you can feel better by eating 20% less meat, and give people easier ways to do that.",2.5,4.5
9943,10284, This is horrifying and terrifying.,6.0,4.0
11418,12460, she is getting counseled by another woman.,4.0,1.0
3547,3548, A woman has some sort of scar on her waist.,4.0,2.0
7428,7769,It’s what animates many of the people — especially women — who sell products through MLMs too.,2.0,1.0
11416,12458, the policemen next to him are looking at him intently.,4.0,1.0
2813,2814, a man is grabbing a woman's head from behind and attempting to stab her neck with a knife.,5.5,3.0
10715,11257," Nothing but the person's eyes, nose, and part of something.",5.5,3.0
2552,2553," happy baby with a pink towel draped over its head, smiling/laughing at some.",4.0,2.5
9080,9421, a woman used to have smudged makeup a long time ago.,4.0,5.0
9904,10245, His face is covered in blood.,3.0,3.0
3063,3064, a man in a red hat and red jacket pulls a gun on a man sitting down.,7.0,2.0
967,968, The bodies do not have a lot of clothes on them.,3.5,2.5
2742,2743,"knife, far away, hope they are ok not recovering, cant do much to help.",3.5,6.5
7523,7864, A father is consoling her daughter.,,1.0
2634,2635, The child appears sad.,4.5,2.0
10122,10664, A baby is looking at the camera with an expression of happiness on its face.,2.0,2.5
